X,Y,X,Y,ID,OBJECTID,UID,PRO_ID,COUNTY_ID,TOWN_ID,VILLAGE_ID,V_Name,T_Name,C_Name,people
181217.35426049802,2704098.424741,118.32162321355,24.4415951271626,0,726,2090,9,9020,902001,0902001-002,西門里,金城鎮,金門縣,11111
181408.24914365396,2704095.1115897764,118.323505992999,24.441573646548,1,726,2090,9,9020,902001,0902001-002,西門里,金城鎮,金門縣,11111
180350.6486076921,2703577.3040294559,118.31310119997,24.436851660477,2,726,2090,9,9020,902001,0902001-002,西門里,金城鎮,金門縣,11111
180991.76221416044,2703603.3042168575,118.319422406592,24.4371149776321,3,726,2090,9,9020,902001,0902001-002,西門里,金城鎮,金門縣,11111
180912.06799568556,2703503.0848285612,118.318641346947,24.4362066170819,4,726,2090,9,9020,902001,0902001-002,西門里,金城鎮,金門縣,11111
180822.83092627127,2703634.2739787563,118.317754949208,24.4373870812888,5,726,2090,9,9020,902001,0902001-002,西門里,金城鎮,金門縣,11111
180862.25219761365,2703376.6294109705,118.318156220478,24.4350627110409,6,726,2090,9,9020,902001,0902001-002,西門里,金城鎮,金門縣,11111
180858.28438856569,2703809.080071453,118.318096093536,24.4389668799501,7,726,2090,9,9020,902001,0902001-002,西門里,金城鎮,金門縣,11111
180493.82107960482,2703749.932514729,118.314504695678,24.4384166258552,8,726,2090,9,9020,902001,0902001-002,西門里,金城鎮,金門縣,11111
180818.4830695446,2703205.0524123618,118.31773292338,24.4335116957529,9,726,2090,9,9020,902001,0902001-002,西門里,金城鎮,金門縣,11111
180309.22720163583,2703478.2832431225,118.312697561137,24.4359558050076,10,726,2090,9,9020,902001,0902001-002,西門里,金城鎮,金門縣,11111
180560.25639484255,2703582.387148587,118.315168039016,24.4369069249478,11,726,2090,9,9020,902001,0902001-002,西門里,金城鎮,金門縣,11111
181175.77871368334,2703736.9583067186,118.321230666106,24.4383298167845,12,726,2090,9,9020,902001,0902001-002,西門里,金城鎮,金門縣,11111
180547.14109043992,2703194.5317547498,118.3150576155,24.4334046201752,13,726,2090,9,9020,902001,0902001-002,西門里,金城鎮,金門縣,11111
180237.95458919869,2703590.4834263264,118.3119892013,24.4369655989847,14,726,2090,9,9020,902001,0902001-002,西門里,金城鎮,金門縣,11111
180826.59292214242,2703377.7557258629,118.317804509758,24.4350712945366,15,726,2090,9,9020,902001,0902001-002,西門里,金城鎮,金門縣,11111
180518.458115716,2703255.1698295032,118.314771802273,24.433950805071,16,726,2090,9,9020,902001,0902001-002,西門里,金城鎮,金門縣,11111
